HOSPITAL_NAME,PROVIDER_NUMBER,STATE,MEASURE_NAME,NUMBER_OF_DISCHARGES,FOOTNOTE,EXCESS_READMISSION_RATIO,PREDICTED_READMISSION_RATE,EXPECTED_READMISSION_RATE,NUMBER_OF_READMISSIONS,START_DATE,END_DATE
"MEMORIAL MEDICAL CENTER LIVINGSTON","450395","TX","READM-30-COPD-HRRP","177","","0.9009","17.2","19.1","23","01-JUL-13","30-JUN-16"
"MEMORIAL MEDICAL CENTER LIVINGSTON","450395","TX","READM-30-HIP-KNEE-HRRP","Not Available","","0.9882","5.2","5.3","Too Few to Report","01-JUL-13","30-JUN-16"
"PARKVIEW REGIONAL HOSPITAL","450400","TX","READM-30-COPD-HRRP","Not Available","","0.9878","17.8","18.0","Too Few to Report","01-JUL-13","30-JUN-16"
"PARKVIEW REGIONAL HOSPITAL","450400","TX","READM-30-PN-HRRP","124","","1.0456","15.8","15.1","22","01-JUL-13","30-JUN-16"
"MEDICAL CENTER OF MCKINNEY","450403","TX","READM-30-CABG-HRRP","Not Available","","1.0468","13.1","12.5","Too Few to Report","01-JUL-13","30-JUN-16"
"MEDICAL CENTER OF MCKINNEY","450403","TX","READM-30-COPD-HRRP","315","","1.0899","20.9","19.1","72","01-JUL-13","30-JUN-16"
"EASTLAND MEMORIAL HOSPITAL","450411","TX","READM-30-HF-HRRP","85","","0.9492","19.0","20.0","13","01-JUL-13","30-JUN-16"
"ALTRU HOSPITAL","350019","ND","READM-30-HIP-KNEE-HRRP","457","","0.9680","4.5","4.7","20","01-JUL-13","30-JUN-16"
"P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK","350063","ND","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK","350063","ND","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EAST LIVERPOOL CITY HOSPITAL","360096","OH","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CONEMAUGH MEMORIAL MEDICAL CENTER","390110","PA","READM-30-CABG-HRRP","Not Available","","0.8781","12.2","13.9","Too Few to Report","01-JUL-13","30-JUN-16"
"CONEMAUGH MEMORIAL MEDICAL CENTER","390110","PA","READM-30-COPD-HRRP","237","","1.0592","21.4","20.2","55","01-JUL-13","30-JUN-16"
"CONEMAUGH MEMORIAL MEDICAL CENTER","390110","PA","READM-30-HF-HRRP","583","","1.1084","24.1","21.7","147","01-JUL-13","30-JUN-16"
"CONEMAUGH MEMORIAL MEDICAL CENTER","390110","PA","READM-30-PN-HRRP","488","","1.0610","18.8","17.7","95","01-JUL-13","30-JUN-16"
"HOSPITAL OF UNIV OF PENNSYLVANIA","390111","PA","READM-30-COPD-HRRP","124","","0.9551","20.5","21.5","22","01-JUL-13","30-JUN-16"
"HOSPITAL OF UNIV OF PENNSYLVANIA","390111","PA","READM-30-HIP-KNEE-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WINDBER HOSPITAL","390112","PA","READM-30-HF-HRRP","Not Available","","0.9956","18.6","18.7","Too Few to Report","01-JUL-13","30-JUN-16"
"MEADVILLE MEDICAL CENTER","390113","PA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM","390114","PA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM","390114","PA","READM-30-COPD-HRRP","Not Available","","0.9892","20.5","20.8","Too Few to Report","01-JUL-13","30-JUN-16"
"ARIA HEALTH","390115","PA","READM-30-HIP-KNEE-HRRP","582","","1.2755","5.9","4.6","39","01-JUL-13","30-JUN-16"
"SUBURBAN COMMUNITY HOSPITAL","390116","PA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SUBURBAN COMMUNITY HOSPITAL","390116","PA","READM-30-COPD-HRRP","92","","1.0241","20.9","20.4","21","01-JUL-13","30-JUN-16"
"SUBURBAN COMMUNITY HOSPITAL","390116","PA","READM-30-PN-HRRP","186","","0.9494","18.9","19.9","32","01-JUL-13","30-JUN-16"
"UPMC BEDFORD MEMORIAL","390117","PA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BRADFORD REGIONAL MEDICAL CENTER","390118","PA","READM-30-COPD-HRRP","191","","0.9755","17.7","18.1","32","01-JUL-13","30-JUN-16"
"MEMORIAL HERMANN KATY HOSPITAL","450847","TX","READM-30-AMI-HRRP","70","","1.0677","18.1","16.9","17","01-JUL-13","30-JUN-16"
"BAYLOR HEART AND VASCULAR HOSPITAL","450851","TX","READM-30-HF-HRRP","148","","0.9597","19.9","20.8","27","01-JUL-13","30-JUN-16"
"BAYLOR MEDICAL CENTER AT FRISCO","450853","TX","READM-30-HIP-KNEE-HRRP","936","","0.9875","3.9","3.9","36","01-JUL-13","30-JUN-16"
"BAYLOR MEDICAL CENTER AT FRISCO","450853","TX","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HARLINGEN MEDICAL CENTER","450855","TX","READM-30-COPD-HRRP","118","","0.9042","16.1","17.8","12","01-JUL-13","30-JUN-16"
"SOUTH TEXAS SPINE AND SURGICAL HOSPITAL","450856","TX","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ST LUKE'S THE WOODLANDS HOSPITAL","450862","TX","READM-30-HF-HRRP","457","","1.0277","21.5","20.9","100","01-JUL-13","30-JUN-16"
"ST LUKE'S THE WOODLANDS HOSPITAL","450862","TX","READM-30-PN-HRRP","573","","1.0387","17.6","16.9","103","01-JUL-13","30-JUN-16"
"SETON SOUTHWEST HOSPITAL","450865","TX","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"THREE GABLES SURGERY CENTER","360261","OH","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"INSTITUTE FOR ORTHOPAEDIC SURGERY","360263","OH","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"INSTITUTE FOR ORTHOPAEDIC SURGERY","360263","OH","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SAINT FRANCIS HOSPITAL SOUTH, LLC","370218","OK","READM-30-PN-HRRP","304","","0.9710","15.3","15.8","45","01-JUL-13","30-JUN-16"
"ST JOHN OWASSO","370227","OK","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PINNACLE SPECIALTY HOSPITAL","370233","OK","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PINNACLE SPECIALTY HOSPITAL","370233","OK","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PINNACLE SPECIALTY HOSPITAL","370233","OK","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PALMETTO HEALTH BAPTIST PARKRIDGE","420106","SC","READM-30-PN-HRRP","169","","0.9549","14.5","15.2","22","01-JUL-13","30-JUN-16"
"MCLEOD HEALTH CHERAW","420107","SC","READM-30-PN-HRRP","Not Available","","0.9914","16.9","17.1","Too Few to Report","01-JUL-13","30-JUN-16"
"MCLEOD HEALTH CLARENDON","420109","SC","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PRAIRIE LAKES HOSPITAL","430005","SD","READM-30-HF-HRRP","149","","0.9044","17.4","19.2","20","01-JUL-13","30-JUN-16"
"PRAIRIE LAKES HOSPITAL","430005","SD","READM-30-HIP-KNEE-HRRP","278","","0.9326","4.4","4.7","11","01-JUL-13","30-JUN-16"
"PRAIRIE LAKES HOSPITAL","430005","SD","READM-30-PN-HRRP","179","","0.9532","14.3","15.0","23","01-JUL-13","30-JUN-16"
"BROOKINGS HEALTH SYSTEM","430008","SD","READM-30-HF-HRRP","Not Available","","0.9042","17.6","19.4","Too Few to Report","01-JUL-13","30-JUN-16"
"STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL","350064","ND","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ESSENTIA HEALTH-FARGO","350070","ND","READM-30-CABG-HRRP","Not Available","","1.0030","14.8","14.8","Too Few to Report","01-JUL-13","30-JUN-16"
"ESSENTIA HEALTH-FARGO","350070","ND","READM-30-COPD-HRRP","166","","0.9574","18.2","19.0","27","01-JUL-13","30-JUN-16"
"ESSENTIA HEALTH-FARGO","350070","ND","READM-30-PN-HRRP","310","","1.0064","17.0","16.9","53","01-JUL-13","30-JUN-16"
"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC","360003","OH","READM-30-CABG-HRRP","Not Available","","0.8784","15.6","17.8","Too Few to Report","01-JUL-13","30-JUN-16"
"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC","360003","OH","READM-30-HF-HRRP","241","","0.9789","22.1","22.6","52","01-JUL-13","30-JUN-16"
"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC","360003","OH","READM-30-PN-HRRP","270","","1.0209","20.7","20.2","57","01-JUL-13","30-JUN-16"
"RIVERSIDE METHODIST HOSPITAL","360006","OH","READM-30-CABG-HRRP","262","","0.9527","12.4","13.0","31","01-JUL-13","30-JUN-16"
"SOUTHERN OHIO MEDICAL CENTER","360008","OH","READM-30-PN-HRRP","674","","1.0028","18.1","18.0","122","01-JUL-13","30-JUN-16"
"LIMA MEMORIAL HEALTH SYSTEM","360009","OH","READM-30-HF-HRRP","403","","1.0001","22.3","22.3","90","01-JUL-13","30-JUN-16"
"UNION HOSPITAL","360010","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"OHIOHEALTH O'BLENESS HOSPITAL","360014","OH","READM-30-HIP-KNEE-HRRP","Not Available","","1.0171","4.7","4.6","Too Few to Report","01-JUL-13","30-JUN-16"
"JEWISH HOSPITAL, LLC","360016","OH","READM-30-COPD-HRRP","165","","1.0645","21.4","20.1","40","01-JUL-13","30-JUN-16"
"JEWISH HOSPITAL, LLC","360016","OH","READM-30-HF-HRRP","449","","0.9763","20.4","20.9","90","01-JUL-13","30-JUN-16"
"GRANT MEDICAL CENTER","360017","OH","READM-30-AMI-HRRP","146","","1.1144","16.5","14.8","31","01-JUL-13","30-JUN-16"
"GRANT MEDICAL CENTER","360017","OH","READM-30-CABG-HRRP","Not Available","","1.0173","13.6","13.4","Too Few to Report","01-JUL-13","30-JUN-16"
"PALMERTON HOSPITAL","390019","PA","READM-30-PN-HRRP","138","","1.0246","17.1","16.7","25","01-JUL-13","30-JUN-16"
"WAYNE MEMORIAL HOSPITAL","390125","PA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PHOENIXVILLE HOSPITAL","390127","PA","READM-30-HIP-KNEE-HRRP","169","","1.2493","6.4","5.1","15","01-JUL-13","30-JUN-16"
"CONEMAUGH MINERS MEDICAL CENTER","390130","PA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CONEMAUGH MINERS MEDICAL CENTER","390130","PA","READM-30-PN-HRRP","61","","1.0005","18.0","18.0","11","01-JUL-13","30-JUN-16"
"NEW YORK-PRESBYTERIAN HOSPITAL","330101","NY","READM-30-AMI-HRRP","1174","","1.0456","18.7","17.8","222","01-JUL-13","30-JUN-16"
"NEW YORK-PRESBYTERIAN HOSPITAL","330101","NY","READM-30-PN-HRRP","2329","","0.9948","16.5","16.6","385","01-JUL-13","30-JUN-16"
"OLEAN GENERAL HOSPITAL","330103","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"OLEAN GENERAL HOSPITAL","330103","NY","READM-30-HF-HRRP","243","","1.0117","24.0","23.7","59","01-JUL-13","30-JUN-16"
"NORTH SHORE UNIVERSITY HOSPITAL","330106","NY","READM-30-CABG-HRRP","277","","1.1124","16.2","14.5","48","01-JUL-13","30-JUN-16"
"ONEIDA HEALTHCARE","330115","NY","READM-30-HIP-KNEE-HRRP","Not Available","","1.0180","5.5","5.4","Too Few to Report","01-JUL-13","30-JUN-16"
"LENOX HILL HOSPITAL","330119","NY","READM-30-CABG-HRRP","146","","0.9910","13.9","14.0","20","01-JUL-13","30-JUN-16"
"MERCY HOSPITAL OF DEFIANCE","360270","OH","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MEDICAL CENTER AT ELIZABETH PLACE","360274","OH","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CRYSTAL CLINIC ORTHOPAEDIC CENTER","360351","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"DILEY RIDGE MEDICAL CENTER","360358","OH","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER","360359","OH","READM-30-AMI-HRRP","151","","1.0409","15.5","14.9","26","01-JUL-13","30-JUN-16"
"KINGS DAUGHTERS MEDICAL CENTER OHIO","360361","OH","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"JEFFERSON HOSPITAL","390265","PA","READM-30-AMI-HRRP","168","","0.9803","15.6","16.0","25","01-JUL-13","30-JUN-16"
"AVERA QUEEN OF PEACE","430013","SD","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"AVERA ST LUKES","430014","SD","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"REGIONAL HEALTH SPEARFISH HOSPITAL","430048","SD","READM-30-COPD-HRRP","Not Available","","0.9282","15.6","16.8","Too Few to Report","01-JUL-13","30-JUN-16"
"REGIONAL HEALTH RAPID CITY HOSPITAL","430077","SD","READM-30-AMI-HRRP","481","","0.9936","13.8","13.9","66","01-JUL-13","30-JUN-16"
"MEDICAL CENTER HOSPITAL","450132","TX","READM-30-AMI-HRRP","337","","1.0410","15.0","14.4","53","01-JUL-13","30-JUN-16"
"MEDICAL CENTER HOSPITAL","450132","TX","READM-30-CABG-HRRP","81","","1.0067","14.6","14.5","12","01-JUL-13","30-JUN-16"
"MEDICAL CENTER HOSPITAL","450132","TX","READM-30-PN-HRRP","429","","1.0237","16.0","15.6","70","01-JUL-13","30-JUN-16"
"MIDLAND MEMORIAL HOSPITAL","450133","TX","READM-30-HF-HRRP","465","","0.9222","18.2","19.8","80","01-JUL-13","30-JUN-16"
"TEXAS HEALTH HARRIS METHODIST FORT WORTH","450135","TX","READM-30-PN-HRRP","1026","","1.0147","17.6","17.3","181","01-JUL-13","30-JUN-16"
"SETON SMITHVILLE REGIONAL HOSPITAL","450143","TX","READM-30-COPD-HRRP","Not Available","","0.9679","17.9","18.5","Too Few to Report","01-JUL-13","30-JUN-16"
"PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","450144","TX","READM-30-PN-HRRP","Not Available","","0.9992","14.1","14.1","Too Few to Report","01-JUL-13","30-JUN-16"
"MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS","310084","NJ","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV","310086","NJ","READM-30-AMI-HRRP","246","","1.0673","20.9","19.6","56","01-JUL-13","30-JUN-16"
"GUADALUPE COUNTY HOSPITAL","320067","NM","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"DHHS USPHS INDIAN HEALTH SERVICES","320070","NM","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LOVELACE WESTSIDE HOSPITAL","320074","NM","READM-30-COPD-HRRP","Not Available","","0.9933","19.1","19.2","Too Few to Report","01-JUL-13","30-JUN-16"
"LOVELACE WESTSIDE HOSPITAL","320074","NM","READM-30-HF-HRRP","Not Available","","0.9223","18.1","19.7","Too Few to Report","01-JUL-13","30-JUN-16"
"ROOSEVELT GENERAL HOSPITAL","320084","NM","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LOVELACE REGIONAL HOSPITAL - ROSWELL","320086","NM","READM-30-AMI-HRRP","Not Available","","1.0269","15.5","15.1","Too Few to Report","01-JUL-13","30-JUN-16"
"UNM SANDOVAL REGIONAL MEDICAL CENTER","320089","NM","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI","450046","TX","READM-30-COPD-HRRP","437","","0.9016","18.2","20.2","72","01-JUL-13","30-JUN-16"
"CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI","450046","TX","READM-30-PN-HRRP","840","","0.9618","17.7","18.4","146","01-JUL-13","30-JUN-16"
"SCOTT & WHITE MEDICAL CENTER - TEMPLE","450054","TX","READM-30-CABG-HRRP","95","","0.9610","16.0","16.6","14","01-JUL-13","30-JUN-16"
"ROLLING PLAINS MEMORIAL HOSPITAL","450055","TX","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SETON MEDICAL CENTER AUSTIN","450056","TX","READM-30-COPD-HRRP","253","","1.0112","18.7","18.4","48","01-JUL-13","30-JUN-16"
"TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL","450064","TX","READM-30-AMI-HRRP","Not Available","","0.9694","18.9","19.5","Too Few to Report","01-JUL-13","30-JUN-16"
"MEMORIAL HERMANN TEXAS MEDICAL CENTER","450068","TX","READM-30-PN-HRRP","229","","0.9778","17.6","18.0","39","01-JUL-13","30-JUN-16"
"BRAZOSPORT REGIONAL HEALTH SYSTEM","450072","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BAYLOR MEDICAL CENTER AT IRVING","450079","TX","READM-30-PN-HRRP","547","","0.9273","15.2","16.4","79","01-JUL-13","30-JUN-16"
"NOVANT HEALTH ROWAN MEDICAL CENTER","340015","NC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CHARLESTON SURGICAL HOSPITAL","510091","WV","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CHARLESTON SURGICAL HOSPITAL","510091","WV","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT","520002","WI","READM-30-AMI-HRRP","Not Available","","0.9468","16.8","17.7","Too Few to Report","01-JUL-13","30-JUN-16"
"MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT","520002","WI","READM-30-HF-HRRP","196","","0.9626","19.5","20.3","36","01-JUL-13","30-JUN-16"
"MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR","520004","WI","READM-30-HIP-KNEE-HRRP","399","","1.4192","5.9","4.1","30","01-JUL-13","30-JUN-16"
"WAUKESHA MEMORIAL HOSPITAL","520008","WI","READM-30-PN-HRRP","675","","0.9654","15.7","16.3","104","01-JUL-13","30-JUN-16"
"ST ELIZABETH HOSPITAL","520009","WI","READM-30-PN-HRRP","140","","0.9844","14.9","15.1","20","01-JUL-13","30-JUN-16"
"PRESENCE SAINT JOSEPH MEDICAL CENTER","140007","IL","READM-30-AMI-HRRP","509","","1.1871","21.1","17.8","119","01-JUL-13","30-JUN-16"
"LOYOLA GOTTLIEB MEMORIAL HOSPITAL","140008","IL","READM-30-AMI-HRRP","186","","0.9406","16.1","17.1","26","01-JUL-13","30-JUN-16"
"REDMOND REGIONAL MEDICAL CENTER","110168","GA","READM-30-HIP-KNEE-HRRP","417","","1.1410","4.9","4.3","23","01-JUL-13","30-JUN-16"
"WARREN MEMORIAL HOSPITAL","490033","VA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"INOVA ALEXANDRIA HOSPITAL","490040","VA","READM-30-AMI-HRRP","272","","0.9802","15.5","15.9","41","01-JUL-13","30-JUN-16"
"CARILION NEW RIVER VALLEY MEDICAL CENTER","490042","VA","READM-30-HF-HRRP","338","","0.9414","20.0","21.3","64","01-JUL-13","30-JUN-16"
"SENTARA OBICI HOSPITAL","490044","VA","READM-30-AMI-HRRP","Not Available","","0.9932","15.8","15.9","Too Few to Report","01-JUL-13","30-JUN-16"
"NOVANT HEALTH UVA  PRINCE WILLIAM MEDICAL CENTER","490045","VA","READM-30-AMI-HRRP","133","","1.0290","13.7","13.3","20","01-JUL-13","30-JUN-16"
"NOVANT HEALTH UVA  PRINCE WILLIAM MEDICAL CENTER","490045","VA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SENTARA LEIGH HOSPITAL","490046","VA","READM-30-COPD-HRRP","417","","0.8725","17.7","20.3","64","01-JUL-13","30-JUN-16"
"EMERUS COMMUNITY HOSPITAL","670095","TX","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"UNM SANDOVAL REGIONAL MEDICAL CENTER","320089","NM","READM-30-HIP-KNEE-HRRP","221","","1.0985","4.6","4.2","12","01-JUL-13","30-JUN-16"
"HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS","330004","NY","READM-30-HF-HRRP","535","","1.0913","21.6","19.8","121","01-JUL-13","30-JUN-16"
"WYOMING COUNTY COMMUNITY HOSPITAL","330008","NY","READM-30-HF-HRRP","47","","1.0188","21.0","20.6","11","01-JUL-13","30-JUN-16"
"BRONX-LEBANON HOSPITAL CENTER","330009","NY","READM-30-HF-HRRP","157","","1.1860","26.2","22.1","52","01-JUL-13","30-JUN-16"
"ALBANY MEDICAL CENTER HOSPITAL","330013","NY","READM-30-COPD-HRRP","269","","1.0059","21.8","21.6","59","01-JUL-13","30-JUN-16"
"ALBANY MEDICAL CENTER HOSPITAL","330013","NY","READM-30-HF-HRRP","475","","0.9912","22.4","22.6","106","01-JUL-13","30-JUN-16"
"JAMAICA HOSPITAL MEDICAL CENTER","330014","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
